index,date,open,high,low,close,volume
779,2021-09-09 20:01:00,1.1824,1.1825,1.1822,1.1822,0
780,2021-09-09 20:00:00,1.1823,1.1824,1.1822,1.1823,0
781,2021-09-09 19:59:00,1.1824,1.1824,1.1821,1.1823,0
782,2021-09-09 19:58:00,1.1824,1.1824,1.1822,1.1824,0
783,2021-09-09 19:57:00,1.1824,1.1824,1.1823,1.1824,0
784,2021-09-09 19:56:00,1.1824,1.1824,1.1822,1.1824,0
785,2021-09-09 19:55:00,1.1824,1.1824,1.1822,1.1822,0
786,2021-09-09 19:54:00,1.1824,1.1824,1.1822,1.1824,0
787,2021-09-09 19:53:00,1.1823,1.1824,1.1822,1.1824,0
788,2021-09-09 19:52:00,1.1823,1.1824,1.1822,1.1823,0
789,2021-09-09 19:51:00,1.1823,1.1824,1.1822,1.1822,0
790,2021-09-09 19:50:00,1.1824,1.1824,1.1822,1.1823,0
791,2021-09-09 19:49:00,1.1824,1.1824,1.1822,1.1822,0
792,2021-09-09 19:48:00,1.1824,1.1824,1.1822,1.1824,0
793,2021-09-09 19:47:00,1.1825,1.1825,1.1822,1.1823,0
794,2021-09-09 19:46:00,1.1824,1.1825,1.1823,1.1824,0
795,2021-09-09 19:45:00,1.1824,1.1825,1.1823,1.1823,0
796,2021-09-09 19:44:00,1.1824,1.1825,1.1823,1.1823,0
797,2021-09-09 19:43:00,1.1825,1.1825,1.1822,1.1824,0
798,2021-09-09 19:42:00,1.1824,1.1825,1.1823,1.1825,0
799,2021-09-09 19:41:00,1.1825,1.1825,1.1823,1.1824,0
800,2021-09-09 19:40:00,1.1824,1.1825,1.1823,1.1825,0
801,2021-09-09 19:39:00,1.1824,1.1825,1.1823,1.1824,0
802,2021-09-09 19:38:00,1.1824,1.1825,1.1823,1.1824,0
803,2021-09-09 19:37:00,1.1825,1.1825,1.1823,1.1823,0
804,2021-09-09 19:36:00,1.1825,1.1825,1.1823,1.1825,0
805,2021-09-09 19:35:00,1.1825,1.1825,1.1823,1.1824,0
806,2021-09-09 19:34:00,1.1824,1.1825,1.1823,1.1824,0
807,2021-09-09 19:33:00,1.1825,1.1825,1.1823,1.1825,0
808,2021-09-09 19:32:00,1.1825,1.1825,1.1823,1.1824,0
809,2021-09-09 19:31:00,1.1825,1.1825,1.1823,1.1825,0
810,2021-09-09 19:30:00,1.1824,1.1825,1.1823,1.1824,0
811,2021-09-09 19:29:00,1.1824,1.1824,1.1823,1.1824,0
812,2021-09-09 19:28:00,1.1824,1.1824,1.1823,1.1824,0
813,2021-09-09 19:27:00,1.1822,1.1824,1.1822,1.1824,0
814,2021-09-09 19:26:00,1.1824,1.1824,1.1822,1.1824,0
815,2021-09-09 19:25:00,1.1824,1.1824,1.1822,1.1823,0
816,2021-09-09 19:24:00,1.1824,1.1824,1.1822,1.1824,0
817,2021-09-09 19:23:00,1.1824,1.1824,1.1822,1.1824,0
818,2021-09-09 19:22:00,1.1824,1.1824,1.1822,1.1823,0
819,2021-09-09 19:21:00,1.1823,1.1824,1.1822,1.1823,0
820,2021-09-09 19:20:00,1.1823,1.1824,1.1822,1.1823,0
821,2021-09-09 19:19:00,1.1824,1.1824,1.1822,1.1823,0
822,2021-09-09 19:18:00,1.1824,1.1824,1.1822,1.1823,0
823,2021-09-09 19:17:00,1.1823,1.1824,1.1822,1.1824,0
824,2021-09-09 19:16:00,1.1823,1.1824,1.1823,1.1824,0
825,2021-09-09 19:15:00,1.1823,1.1824,1.1821,1.1823,0
826,2021-09-09 19:14:00,1.1823,1.1824,1.1821,1.1823,0
827,2021-09-09 19:13:00,1.1823,1.1824,1.1821,1.1823,0
828,2021-09-09 19:12:00,1.1824,1.1824,1.1822,1.1823,0
829,2021-09-09 19:11:00,1.1823,1.1824,1.1821,1.1823,0
830,2021-09-09 19:10:00,1.1823,1.1824,1.1821,1.1822,0
831,2021-09-09 19:09:00,1.1823,1.1823,1.1822,1.1823,0
832,2021-09-09 19:08:00,1.1823,1.1823,1.1822,1.1823,0
833,2021-09-09 19:07:00,1.1823,1.1823,1.1822,1.1823,0
834,2021-09-09 19:06:00,1.1824,1.1824,1.1821,1.1822,0
835,2021-09-09 19:05:00,1.1823,1.1824,1.1822,1.1824,0
836,2021-09-09 19:04:00,1.1823,1.1824,1.1822,1.1823,0
837,2021-09-09 19:03:00,1.1824,1.1824,1.1822,1.1823,0
838,2021-09-09 19:02:00,1.1824,1.1824,1.1822,1.1824,0
839,2021-09-09 19:01:00,1.1824,1.1824,1.1823,1.1824,0
840,2021-09-09 19:00:00,1.1823,1.1824,1.1823,1.1823,0
841,2021-09-09 18:59:00,1.1824,1.1824,1.1822,1.1823,0
842,2021-09-09 18:58:00,1.1824,1.1824,1.1822,1.1823,0
843,2021-09-09 18:57:00,1.1824,1.1825,1.1823,1.1823,0
844,2021-09-09 18:56:00,1.1822,1.1824,1.1822,1.1824,0
845,2021-09-09 18:55:00,1.1824,1.1824,1.1822,1.1824,0
846,2021-09-09 18:54:00,1.1824,1.1824,1.1823,1.1823,0
847,2021-09-09 18:53:00,1.1824,1.1824,1.1822,1.1822,0
848,2021-09-09 18:52:00,1.1824,1.1824,1.1824,1.1824,0
849,2021-09-09 18:51:00,1.1824,1.1824,1.1823,1.1824,0
850,2021-09-09 18:50:00,1.1824,1.1824,1.1822,1.1824,0
851,2021-09-09 18:49:00,1.1823,1.1824,1.1822,1.1824,0
852,2021-09-09 18:48:00,1.1823,1.1824,1.1822,1.1824,0
853,2021-09-09 18:47:00,1.1824,1.1824,1.1822,1.1824,0
854,2021-09-09 18:46:00,1.1824,1.1824,1.1822,1.1824,0
855,2021-09-09 18:45:00,1.1824,1.1824,1.1822,1.1822,0
856,2021-09-09 18:44:00,1.1823,1.1824,1.1822,1.1823,0
857,2021-09-09 18:43:00,1.1824,1.1824,1.1822,1.1823,0
858,2021-09-09 18:42:00,1.1824,1.1824,1.1822,1.1824,0
859,2021-09-09 18:41:00,1.1824,1.1824,1.1822,1.1824,0
860,2021-09-09 18:40:00,1.1824,1.1824,1.1822,1.1824,0
861,2021-09-09 18:39:00,1.1824,1.1824,1.1823,1.1824,0
862,2021-09-09 18:38:00,1.1824,1.1824,1.1823,1.1823,0
863,2021-09-09 18:37:00,1.1824,1.1824,1.1823,1.1824,0
864,2021-09-09 18:36:00,1.1823,1.1825,1.1823,1.1824,0
865,2021-09-09 18:35:00,1.1824,1.1825,1.1823,1.1825,0
866,2021-09-09 18:34:00,1.1824,1.1824,1.1823,1.1823,0
867,2021-09-09 18:33:00,1.1824,1.1825,1.1822,1.1824,0
868,2021-09-09 18:32:00,1.1824,1.1825,1.1823,1.1823,0
869,2021-09-09 18:31:00,1.1824,1.1825,1.1822,1.1823,0
